item_code, vendor_code,launch_month, unit_price, department_name, category_name, subcategory_name,sales_velocity, sales_month, sales_unit, promotion_type
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M02,52,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M03,36,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M04,51,Catalogue Promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M05,44,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M06,44,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M07,45,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M08,29,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M09,40.8,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M10,22,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M11,35,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2011.M12,32.8,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M01,24.8,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M02,36,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M03,29.6,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M04,24,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M05,25,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M06,36,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M07,30,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M08,31,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M09,28.8,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M10,31,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M11,24,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2012.M12,33.6,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2013.M01,26,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2013.M02,38,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2013.M03,30.4,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2013.M04,21,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2013.M05,30,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2013.M06,14.4,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M01,44,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M02,36,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M03,36,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M04,39,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M05,33,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M06,32,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M07,33,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M08,31,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M09,34.4,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M10,49,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M11,39,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2008.M12,51.2,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M01,24,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M02,34,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M03,40.8,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M04,36,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M05,52,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M06,48.8,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M07,53,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M08,53,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M09,41.6,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M10,59,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M11,45,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2009.M12,44.8,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M01,45,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M02,59,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M03,42.4,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M04,50,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M05,56,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M06,56,Catalogue Promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M07,49,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M08,50,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M09,59.2,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M10,47,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M11,44,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2010.M12,55.2,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M01,53,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M02,46,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M03,50.4,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M04,62,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M05,51,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M06,64,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M07,43,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M08,46,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M09,48,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M10,37,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M11,46,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2011.M12,48,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M01,45.6,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M02,62,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M03,47.2,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M04,40,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M05,64,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M06,65.6,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M07,62,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M08,70,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M09,57.6,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M10,60,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M11,50,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2012.M12,56.8,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2013.M01,57,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2013.M02,47,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2013.M03,63.2,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2013.M04,81,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2013.M05,54,no_promotion
I-111166,V10,2007.M01,120,Face,Face Treatment,Face Treatment Other,B,2013.M06,80.8,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M01,32,no_promotion
I-111169,V10,2007.M01,42,Face,Face Treatment,Face Treatment Other,D,2008.M02,35,no_promotion
